Date,AveragePrice,Total Volume,type,region
2015-01-25,1.06,45147.5,conventional,Albany
2015-01-18,1.17,44511.28,conventional,Albany
2015-01-11,1.24,41195.08,conventional,Albany
2015-01-04,1.22,40873.28,conventional,Albany
2015-12-27,0.99,386100.49,conventional,Atlanta
2015-12-20,1.08,331377.53,conventional,Atlanta
2015-12-13,0.96,417772.47,conventional,Atlanta
2015-12-06,1.07,357636.82,conventional,Atlanta
2015-11-29,0.99,333280.79,conventional,Atlanta
2015-11-22,1.0,356414.57,conventional,Atlanta
2015-11-15,1.13,339860.68,conventional,Atlanta
2015-11-08,1.12,334041.6,conventional,Atlanta
2015-11-01,0.99,419088.74,conventional,Atlanta
2015-10-25,1.09,358478.08,conventional,Atlanta
2015-10-18,1.09,349072.48,conventional,Atlanta
2015-10-11,0.95,433874.46,conventional,Atlanta
2015-10-04,0.96,418682.26,conventional,Atlanta
2015-09-27,1.07,370321.17,conventional,Atlanta
2015-09-20,0.93,516432.6,conventional,Atlanta
2015-09-13,1.07,417232.18,conventional,Atlanta
2015-09-06,0.97,472136.53,conventional,Atlanta
2015-08-30,1.15,382972.72,conventional,Atlanta
2015-08-23,1.12,379054.29,conventional,Atlanta
2015-08-16,1.09,465213.81,conventional,Atlanta
2015-08-09,1.01,503791.72,conventional,Atlanta
2015-08-02,1.15,405898.44,conventional,Atlanta
2015-07-26,1.08,437377.75,conventional,Atlanta
2015-07-19,0.97,557212.99,conventional,Atlanta
2015-07-12,1.14,407204.88,conventional,Atlanta
2015-07-05,1.01,562462.33,conventional,Atlanta
2015-06-28,1.13,435210.71,conventional,Atlanta
2015-06-21,0.99,554763.76,conventional,Atlanta
2015-06-14,1.1,465804.78,conventional,Atlanta
2015-06-07,0.99,551009.05,conventional,Atlanta
2015-05-31,1.1,454702.0,conventional,Atlanta
2015-05-24,0.96,623212.04,conventional,Atlanta
2015-05-17,1.11,451250.7,conventional,Atlanta
2015-05-10,1.1,480071.18,conventional,Atlanta
2015-05-03,1.0,634213.1,conventional,Atlanta
2015-04-26,1.12,448596.76,conventional,Atlanta
2015-04-19,1.12,430966.34,conventional,Atlanta
2015-04-12,0.99,451101.89,conventional,Atlanta
2015-04-05,1.04,383139.49,conventional,Atlanta
2015-03-29,1.11,365722.14,conventional,Atlanta
2015-03-22,1.0,479590.62,conventional,Atlanta
2015-03-15,1.12,399566.22,conventional,Atlanta
2015-03-08,1.1,420826.32,conventional,Atlanta
2015-03-01,0.99,512532.44,conventional,Atlanta
2015-02-22,1.1,431308.56,conventional,Atlanta
2015-02-15,1.06,427391.28,conventional,Atlanta
2015-02-08,1.03,433883.91,conventional,Atlanta
2015-02-01,0.96,636771.37,conventional,Atlanta
2015-01-25,1.1,449332.85,conventional,Atlanta
2015-01-18,1.11,431490.99,conventional,Atlanta
2015-01-11,1.11,397542.72,conventional,Atlanta
2015-01-04,1.0,435021.49,conventional,Atlanta
2015-12-27,1.17,596819.4,conventional,BaltimoreWashington
2015-12-20,1.11,642682.4,conventional,BaltimoreWashington
2015-12-13,1.15,619509.33,conventional,BaltimoreWashington
2015-12-06,1.04,649141.25,conventional,BaltimoreWashington
2015-11-29,1.16,545800.05,conventional,BaltimoreWashington
2015-11-22,1.12,572019.8,conventional,BaltimoreWashington
2015-11-15,1.04,718330.48,conventional,BaltimoreWashington
2015-11-08,1.05,830967.23,conventional,BaltimoreWashington
2015-11-01,1.12,742220.67,conventional,BaltimoreWashington
2015-10-25,1.19,656892.03,conventional,BaltimoreWashington
2015-10-18,0.99,1005603.78,conventional,BaltimoreWashington
2015-10-11,1.24,653560.14,conventional,BaltimoreWashington
2015-10-04,1.28,657444.04,conventional,BaltimoreWashington
2015-09-27,1.19,696281.81,conventional,BaltimoreWashington
2015-09-20,1.17,709268.62,conventional,BaltimoreWashington
2015-09-13,1.09,924993.61,conventional,BaltimoreWashington
2015-09-06,1.18,823623.36,conventional,BaltimoreWashington
2015-08-30,1.24,734721.29,conventional,BaltimoreWashington
2015-08-23,1.16,783935.36,conventional,BaltimoreWashington
2015-08-16,1.14,882754.72,conventional,BaltimoreWashington
2015-08-09,1.16,821523.45,conventional,BaltimoreWashington
2015-08-02,1.17,800603.23,conventional,BaltimoreWashington
2015-07-26,1.2,772926.12,conventional,BaltimoreWashington
2015-07-19,1.18,800194.34,conventional,BaltimoreWashington
2015-07-12,1.1,850931.58,conventional,BaltimoreWashington
2015-07-05,1.16,896298.77,conventional,BaltimoreWashington
2015-06-28,1.15,862261.64,conventional,BaltimoreWashington
2015-06-21,1.16,862840.73,conventional,BaltimoreWashington
2015-06-14,1.09,955046.82,conventional,BaltimoreWashington
2015-06-07,1.26,794310.29,conventional,BaltimoreWashington
2015-05-31,1.19,949177.06,conventional,BaltimoreWashington
2015-05-24,1.18,908661.83,conventional,BaltimoreWashington
2015-05-17,1.27,790853.86,conventional,BaltimoreWashington
2015-05-10,1.26,855205.82,conventional,BaltimoreWashington
2015-05-03,1.17,896972.05,conventional,BaltimoreWashington
2015-04-26,1.29,747841.09,conventional,BaltimoreWashington
2015-04-19,1.28,762862.62,conventional,BaltimoreWashington
2015-04-12,1.15,837629.62,conventional,BaltimoreWashington
2015-04-05,1.29,688065.45,conventional,BaltimoreWashington
2015-03-29,1.25,663677.32,conventional,BaltimoreWashington
2015-03-22,1.1,808897.21,conventional,BaltimoreWashington
2015-03-15,1.24,693698.13,conventional,BaltimoreWashington
2015-03-08,1.26,657745.9,conventional,BaltimoreWashington
2015-03-01,1.16,770115.24,conventional,BaltimoreWashington
2015-02-22,1.11,749845.79,conventional,BaltimoreWashington
2015-02-15,1.25,637319.34,conventional,BaltimoreWashington
2015-02-08,1.09,844931.21,conventional,BaltimoreWashington
2015-02-01,1.06,1007418.76,conventional,BaltimoreWashington
2015-01-25,1.2,692934.46,conventional,BaltimoreWashington
2015-01-18,1.23,657741.34,conventional,BaltimoreWashington
2015-01-11,1.17,670231.94,conventional,BaltimoreWashington
2015-01-04,1.08,788025.06,conventional,BaltimoreWashington
2015-12-27,0.97,62909.69,conventional,Boise
2015-12-20,1.03,57504.05,conventional,Boise
2015-12-13,0.99,58461.05,conventional,Boise
2015-12-06,0.71,95295.34,conventional,Boise
2015-11-29,1.06,49069.13,conventional,Boise
2015-11-22,1.09,52875.58,conventional,Boise
2015-11-15,1.01,68648.22,conventional,Boise
2015-11-08,1.11,55847.79,conventional,Boise
2015-11-01,1.14,53585.51,conventional,Boise
2015-10-25,1.11,59874.45,conventional,Boise
2015-10-18,1.16,54191.14,conventional,Boise
2015-10-11,0.94,80904.19,conventional,Boise
2015-10-04,1.12,59496.33,conventional,Boise
2015-09-27,0.99,64187.8,conventional,Boise
2015-09-20,1.03,73952.9,conventional,Boise
2015-09-13,1.08,64208.84,conventional,Boise
2015-09-06,1.16,64464.61,conventional,Boise
2015-08-30,1.19,60099.83,conventional,Boise
2015-08-23,1.05,70773.76,conventional,Boise
2015-08-16,1.12,64001.61,conventional,Boise
2015-08-09,1.1,61286.98,conventional,Boise
2015-08-02,1.07,67763.91,conventional,Boise
2015-07-26,1.07,67826.07,conventional,Boise
2015-07-19,1.09,63958.04,conventional,Boise
2015-07-12,1.05,74677.72,conventional,Boise
2015-07-05,1.15,85044.45,conventional,Boise
2015-06-28,1.04,75280.41,conventional,Boise
2015-06-21,1.06,81397.07,conventional,Boise
2015-06-14,0.99,87607.71,conventional,Boise
2015-06-07,1.12,80751.29,conventional,Boise
2015-05-31,0.97,76689.38,conventional,Boise
2015-05-24,1.03,83209.77,conventional,Boise
2015-05-17,0.96,77987.53,conventional,Boise
2015-05-10,1.06,95788.53,conventional,Boise
2015-05-03,1.0,85466.99,conventional,Boise
2015-04-26,0.96,88111.17,conventional,Boise
2015-04-19,0.99,89694.96,conventional,Boise
2015-04-12,1.19,66246.3,conventional,Boise
2015-04-05,1.09,76704.46,conventional,Boise
2015-03-29,0.98,74543.98,conventional,Boise
2015-03-22,1.17,61419.11,conventional,Boise
2015-03-15,1.0,65918.28,conventional,Boise
2015-03-08,1.14,65350.24,conventional,Boise
2015-03-01,1.06,75046.37,conventional,Boise
2015-02-22,0.99,76836.1,conventional,Boise
2015-02-15,1.14,61221.98,conventional,Boise
2015-02-08,1.07,69970.75,conventional,Boise
2015-02-01,0.91,113578.24,conventional,Boise
2015-01-25,1.03,66069.21,conventional,Boise
2015-01-18,1.08,62870.49,conventional,Boise
2015-01-11,1.18,57355.52,conventional,Boise
2015-01-04,1.01,80034.32,conventional,Boise
2015-12-27,1.13,450816.39,conventional,Boston
2015-12-20,1.07,489802.88,conventional,Boston
2015-12-13,1.01,549945.76,conventional,Boston
2015-12-06,1.02,488679.31,conventional,Boston
2015-11-29,1.19,350559.81,conventional,Boston
2015-11-22,1.07,466759.99,conventional,Boston
2015-11-15,1.05,513738.98,conventional,Boston
2015-11-08,1.04,641759.57,conventional,Boston
2015-11-01,1.06,553096.84,conventional,Boston
2015-10-25,1.02,534249.47,conventional,Boston
2015-10-18,0.94,725296.29,conventional,Boston
2015-10-11,1.14,485706.68,conventional,Boston
2015-10-04,1.07,536479.42,conventional,Boston
2015-09-27,1.07,553307.04,conventional,Boston
2015-09-20,1.15,498640.23,conventional,Boston
2015-09-13,1.03,655682.95,conventional,Boston
2015-09-06,1.11,577774.74,conventional,Boston
2015-08-30,1.13,526664.87,conventional,Boston
2015-08-23,1.07,589471.32,conventional,Boston
2015-08-16,1.15,565795.06,conventional,Boston
2015-08-09,1.07,690517.19,conventional,Boston
2015-08-02,1.17,571994.5,conventional,Boston
2015-07-26,1.28,500233.69,conventional,Boston
2015-07-19,1.18,597168.12,conventional,Boston
2015-07-12,1.14,634515.74,conventional,Boston
2015-07-05,1.27,582909.73,conventional,Boston
2015-06-28,1.25,560494.92,conventional,Boston
2015-06-21,1.24,543504.66,conventional,Boston
2015-06-14,1.08,684346.48,conventional,Boston
2015-06-07,1.25,562542.86,conventional,Boston
2015-05-31,1.26,565160.95,conventional,Boston
2015-05-24,1.14,633521.98,conventional,Boston
2015-05-17,1.26,534488.54,conventional,Boston
2015-05-10,1.14,625558.14,conventional,Boston
2015-05-03,1.17,552368.94,conventional,Boston
2015-04-26,1.28,465911.37,conventional,Boston
2015-04-19,1.15,504619.83,conventional,Boston
2015-04-12,1.26,408485.16,conventional,Boston
2015-04-05,1.27,449818.01,conventional,Boston
2015-03-29,1.19,453631.25,conventional,Boston
2015-03-22,1.18,453173.22,conventional,Boston
2015-03-15,1.25,417750.36,conventional,Boston
2015-03-08,1.17,408403.96,conventional,Boston
2015-03-01,1.11,485736.1,conventional,Boston
2015-02-22,1.23,355432.28,conventional,Boston
2015-02-15,1.2,399883.99,conventional,Boston
2015-02-08,1.04,609985.34,conventional,Boston
2015-02-01,1.22,490022.14,conventional,Boston
2015-01-25,1.17,409343.56,conventional,Boston
2015-01-18,1.23,401331.33,conventional,Boston
2015-01-11,1.1,437771.89,conventional,Boston
2015-01-04,1.02,491738.0,conventional,Boston
2015-12-27,1.35,96233.08,conventional,BuffaloRochester
2015-12-20,1.37,90867.51,conventional,BuffaloRochester
2015-12-13,1.35,98473.23,conventional,BuffaloRochester
2015-12-06,1.23,108457.82,conventional,BuffaloRochester
2015-11-29,1.39,79973.14,conventional,BuffaloRochester
2015-11-22,1.4,90242.31,conventional,BuffaloRochester
2015-11-15,1.36,99703.72,conventional,BuffaloRochester
2015-11-08,1.3,111038.95,conventional,BuffaloRochester
2015-11-01,1.23,118541.11,conventional,BuffaloRochester
2015-10-25,1.36,99554.55,conventional,BuffaloRochester
2015-10-18,1.29,106083.75,conventional,BuffaloRochester
2015-10-11,1.3,109153.84,conventional,BuffaloRochester
2015-10-04,1.33,98900.48,conventional,BuffaloRochester
2015-09-27,1.31,90745.72,conventional,BuffaloRochester
2015-09-20,1.54,60624.47,conventional,BuffaloRochester
2015-09-13,1.59,73043.2,conventional,BuffaloRochester
2015-09-06,1.56,76139.58,conventional,BuffaloRochester
2015-08-30,1.38,83731.42,conventional,BuffaloRochester
2015-08-23,1.49,68953.29,conventional,BuffaloRochester
2015-08-16,1.5,69798.09,conventional,BuffaloRochester
2015-08-09,1.47,81830.13,conventional,BuffaloRochester
2015-08-02,1.47,78162.92,conventional,BuffaloRochester
2015-07-26,1.39,91825.07,conventional,BuffaloRochester
2015-07-19,1.36,128846.15,conventional,BuffaloRochester
2015-07-12,1.45,127351.46,conventional,BuffaloRochester
2015-07-05,1.47,140413.9,conventional,BuffaloRochester
2015-06-28,1.36,137246.7,conventional,BuffaloRochester
2015-06-21,1.5,108655.36,conventional,BuffaloRochester
2015-06-14,1.34,149376.79,conventional,BuffaloRochester
2015-06-07,1.38,130908.11,conventional,BuffaloRochester
2015-05-31,1.4,130841.08,conventional,BuffaloRochester
2015-05-24,1.43,121942.61,conventional,BuffaloRochester
2015-05-17,1.35,137050.23,conventional,BuffaloRochester
2015-05-10,1.33,170547.18,conventional,BuffaloRochester
2015-05-03,1.42,136771.79,conventional,BuffaloRochester
2015-04-26,1.41,136964.3,conventional,BuffaloRochester
2015-04-19,1.42,139612.52,conventional,BuffaloRochester
2015-04-12,1.42,118172.53,conventional,BuffaloRochester
2015-04-05,1.44,124145.62,conventional,BuffaloRochester
2015-03-29,1.39,119890.65,conventional,BuffaloRochester
2015-03-22,1.4,119902.96,conventional,BuffaloRochester
2015-03-15,1.47,103413.11,conventional,BuffaloRochester
2015-03-08,1.35,125724.96,conventional,BuffaloRochester
2015-03-01,1.43,112363.86,conventional,BuffaloRochester
2015-02-22,1.41,109546.92,conventional,BuffaloRochester
2015-02-15,1.44,100207.14,conventional,BuffaloRochester
2015-02-08,1.36,132760.1,conventional,BuffaloRochester
2015-02-01,1.33,153920.35,conventional,BuffaloRochester
2015-01-25,1.5,114052.94,conventional,BuffaloRochester
2015-01-18,1.52,107040.29,conventional,BuffaloRochester
2015-01-11,1.54,106221.32,conventional,BuffaloRochester
2015-01-04,1.4,116253.44,conventional,BuffaloRochester
2015-12-27,0.9,5040365.47,conventional,California
2015-12-20,0.94,4695737.21,conventional,California
2015-12-13,0.87,5259354.3,conventional,California
2015-12-06,0.78,5775536.27,conventional,California
2015-11-29,0.91,4575710.62,conventional,California
2015-11-22,0.92,4804278.16,conventional,California
2015-11-15,0.83,5755190.69,conventional,California
2015-11-08,0.98,5148983.51,conventional,California
2015-11-01,0.95,5830427.96,conventional,California
2015-10-25,1.12,4592461.81,conventional,California
2015-10-18,1.07,4999031.79,conventional,California
2015-10-11,1.08,5063309.38,conventional,California
2015-10-04,1.02,4943781.29,conventional,California
2015-09-27,1.04,5216784.63,conventional,California
2015-09-20,1.14,4759791.13,conventional,California
2015-09-13,1.13,5106508.12,conventional,California
2015-09-06,1.09,5806392.78,conventional,California
2015-08-30,1.08,5647385.15,conventional,California
2015-08-23,1.18,5193221.0,conventional,California
2015-08-16,1.11,5616434.08,conventional,California
2015-08-09,1.1,6232081.27,conventional,California
2015-08-02,1.16,5428238.87,conventional,California
2015-07-26,1.13,5557616.27,conventional,California
2015-07-19,1.18,5225200.52,conventional,California
2015-07-12,1.13,5451636.92,conventional,California
2015-07-05,1.12,6718011.83,conventional,California
2015-06-28,1.1,5641742.02,conventional,California
2015-06-21,1.07,5952597.29,conventional,California
2015-06-14,0.97,6741662.31,conventional,California
2015-06-07,0.98,6374842.9,conventional,California
2015-05-31,0.98,6236903.31,conventional,California
2015-05-24,1.1,5621713.64,conventional,California
2015-05-17,1.08,5289138.5,conventional,California
2015-05-10,0.93,6650357.96,conventional,California
2015-05-03,0.88,8567534.49,conventional,California
2015-04-26,1.15,4923565.04,conventional,California
2015-04-19,1.05,5871080.81,conventional,California
2015-04-12,1.06,5636644.51,conventional,California
2015-04-05,1.12,5467155.55,conventional,California
2015-03-29,1.1,5341821.67,conventional,California
2015-03-22,1.06,5571812.77,conventional,California
2015-03-15,1.06,5557163.11,conventional,California
2015-03-08,0.96,5990243.89,conventional,California
2015-03-01,0.84,6700134.25,conventional,California
2015-02-22,0.96,5951871.32,conventional,California
2015-02-15,0.96,5699944.93,conventional,California
2015-02-08,0.91,5871224.58,conventional,California
2015-02-01,0.85,9032180.67,conventional,California
2015-01-25,1.06,4929884.26,conventional,California
2015-01-18,1.02,5570915.26,conventional,California
2015-01-11,0.92,6024932.34,conventional,California
2015-01-04,0.93,5777334.9,conventional,California
2015-12-27,0.96,156698.24,conventional,Charlotte
2015-12-20,0.98,139917.89,conventional,Charlotte
2015-12-13,0.95,157146.19,conventional,Charlotte
2015-12-06,0.99,156114.08,conventional,Charlotte
2015-11-29,0.95,138858.86,conventional,Charlotte
2015-11-22,1.0,133618.33,conventional,Charlotte
2015-11-15,1.01,169281.16,conventional,Charlotte
2015-11-08,1.03,164322.04,conventional,Charlotte
2015-11-01,1.11,171793.87,conventional,Charlotte
2015-10-25,1.27,140920.61,conventional,Charlotte
2015-10-18,1.26,156565.98,conventional,Charlotte
2015-10-11,1.14,167396.56,conventional,Charlotte
2015-10-04,1.22,146737.74,conventional,Charlotte
2015-09-27,1.09,168780.22,conventional,Charlotte
2015-09-20,1.2,161443.98,conventional,Charlotte
2015-09-13,1.19,171077.53,conventional,Charlotte
2015-09-06,1.01,227728.43,conventional,Charlotte
2015-08-30,1.2,179026.88,conventional,Charlotte
2015-08-23,1.15,203298.37,conventional,Charlotte
2015-08-16,1.24,178525.52,conventional,Charlotte
2015-08-09,1.21,173059.32,conventional,Charlotte
2015-08-02,1.24,179321.9,conventional,Charlotte
2015-07-26,1.23,173896.82,conventional,Charlotte
2015-07-19,1.19,187575.03,conventional,Charlotte
2015-07-12,1.18,182856.82,conventional,Charlotte
2015-07-05,1.18,216118.9,conventional,Charlotte
2015-06-28,1.17,193654.01,conventional,Charlotte
2015-06-21,1.17,201173.1,conventional,Charlotte
2015-06-14,1.15,207093.88,conventional,Charlotte
2015-06-07,1.15,199980.3,conventional,Charlotte
2015-05-31,1.19,194630.86,conventional,Charlotte
2015-05-24,1.2,212527.72,conventional,Charlotte
2015-05-17,1.21,190799.99,conventional,Charlotte
2015-05-10,1.19,192767.09,conventional,Charlotte
2015-05-03,1.0,261492.2,conventional,Charlotte
2015-04-26,1.2,182141.55,conventional,Charlotte
2015-04-19,1.18,180944.22,conventional,Charlotte
2015-04-12,1.17,204005.24,conventional,Charlotte
2015-04-05,1.19,177919.28,conventional,Charlotte
2015-03-29,1.23,178788.49,conventional,Charlotte
2015-03-22,1.19,182876.15,conventional,Charlotte
2015-03-15,1.19,183944.05,conventional,Charlotte
2015-03-08,1.25,159386.69,conventional,Charlotte
2015-03-01,1.18,176146.34,conventional,Charlotte
2015-02-22,1.08,201741.43,conventional,Charlotte
2015-02-15,1.22,156798.51,conventional,Charlotte
2015-02-08,1.17,150139.38,conventional,Charlotte
2015-02-01,0.98,254009.7,conventional,Charlotte
2015-01-25,1.18,167270.13,conventional,Charlotte
2015-01-18,1.25,152671.15,conventional,Charlotte
2015-01-11,1.26,159942.68,conventional,Charlotte
2015-01-04,1.19,166006.29,conventional,Charlotte
2015-12-27,0.93,661137.13,conventional,Chicago
2015-12-20,0.91,690669.34,conventional,Chicago
2015-12-13,1.07,668601.5,conventional,Chicago
2015-12-06,1.14,664020.49,conventional,Chicago
2015-11-29,1.11,602481.22,conventional,Chicago
2015-11-22,0.94,751897.89,conventional,Chicago
2015-11-15,1.17,641881.96,conventional,Chicago
2015-11-08,1.01,711146.61,conventional,Chicago
2015-11-01,1.0,807041.46,conventional,Chicago
2015-10-25,1.12,687650.27,conventional,Chicago
2015-10-18,1.15,690302.58,conventional,Chicago
2015-10-11,1.08,708914.17,conventional,Chicago
2015-10-04,1.18,675172.63,conventional,Chicago
2015-09-27,1.15,720501.55,conventional,Chicago
2015-09-20,1.19,729117.42,conventional,Chicago
2015-09-13,1.19,775671.49,conventional,Chicago
2015-09-06,1.11,808677.78,conventional,Chicago
2015-08-30,1.12,773773.53,conventional,Chicago
2015-08-23,1.2,751850.01,conventional,Chicago
2015-08-16,1.16,817690.89,conventional,Chicago
2015-08-09,1.25,731125.01,conventional,Chicago
2015-08-02,1.27,761027.42,conventional,Chicago
2015-07-26,1.12,791332.34,conventional,Chicago
2015-07-19,1.24,797060.27,conventional,Chicago
2015-07-12,1.26,772151.2,conventional,Chicago
2015-07-05,1.24,937317.45,conventional,Chicago
2015-06-28,1.21,786250.22,conventional,Chicago
2015-06-21,1.24,804902.52,conventional,Chicago
2015-06-14,1.21,868197.41,conventional,Chicago
2015-06-07,1.24,824216.23,conventional,Chicago
2015-05-31,1.26,803571.87,conventional,Chicago
2015-05-24,1.23,887105.04,conventional,Chicago
2015-05-17,1.23,817870.17,conventional,Chicago
2015-05-10,1.23,835938.63,conventional,Chicago
2015-05-03,1.04,978376.13,conventional,Chicago
2015-04-26,1.24,779868.01,conventional,Chicago
2015-04-19,1.24,832529.06,conventional,Chicago
2015-04-12,1.24,710718.98,conventional,Chicago
2015-04-05,1.27,751812.42,conventional,Chicago
2015-03-29,1.22,757271.96,conventional,Chicago
2015-03-22,1.21,799946.53,conventional,Chicago
2015-03-15,1.09,827010.39,conventional,Chicago
2015-03-08,1.18,772997.09,conventional,Chicago
2015-03-01,1.09,863391.73,conventional,Chicago
2015-02-22,1.18,773078.09,conventional,Chicago
2015-02-15,1.17,726401.24,conventional,Chicago
2015-02-08,1.13,729325.61,conventional,Chicago
2015-02-01,0.91,1133491.66,conventional,Chicago
2015-01-25,1.22,745439.17,conventional,Chicago
2015-01-18,1.14,797741.43,conventional,Chicago
2015-01-11,1.15,802874.94,conventional,Chicago
2015-01-04,1.11,783068.03,conventional,Chicago
2015-12-27,0.87,162993.77,conventional,CincinnatiDayton
2015-12-20,0.85,175425.57,conventional,CincinnatiDayton
2015-12-13,0.79,207386.27,conventional,CincinnatiDayton
2015-12-06,0.83,207513.04,conventional,CincinnatiDayton
2015-11-29,0.88,141356.34,conventional,CincinnatiDayton
2015-11-22,0.89,174892.99,conventional,CincinnatiDayton
2015-11-15,0.88,193723.22,conventional,CincinnatiDayton
2015-11-08,0.87,239070.13,conventional,CincinnatiDayton
2015-11-01,0.93,254760.33,conventional,CincinnatiDayton
2015-10-25,1.01,203681.71,conventional,CincinnatiDayton
2015-10-18,0.98,186044.56,conventional,CincinnatiDayton
2015-10-11,0.91,213527.77,conventional,CincinnatiDayton
2015-10-04,0.93,235243.88,conventional,CincinnatiDayton
2015-09-27,1.08,202012.62,conventional,CincinnatiDayton
2015-09-20,1.05,210445.12,conventional,CincinnatiDayton
2015-09-13,1.05,216548.9,conventional,CincinnatiDayton
2015-09-06,1.02,232157.91,conventional,CincinnatiDayton
2015-08-30,1.01,234132.09,conventional,CincinnatiDayton
2015-08-23,1.05,208608.84,conventional,CincinnatiDayton
2015-08-16,1.01,234349.47,conventional,CincinnatiDayton
2015-08-09,1.08,214374.41,conventional,CincinnatiDayton
2015-08-02,1.09,206121.36,conventional,CincinnatiDayton
2015-07-26,1.03,216611.18,conventional,CincinnatiDayton
2015-07-19,1.06,223479.02,conventional,CincinnatiDayton
2015-07-12,1.03,218170.8,conventional,CincinnatiDayton
2015-07-05,1.03,250626.33,conventional,CincinnatiDayton
2015-06-28,1.01,225165.84,conventional,CincinnatiDayton
2015-06-21,1.02,243012.2,conventional,CincinnatiDayton
2015-06-14,1.05,229363.51,conventional,CincinnatiDayton
2015-06-07,1.07,234981.67,conventional,CincinnatiDayton
2015-05-31,1.06,222382.69,conventional,CincinnatiDayton
2015-05-24,1.1,222390.09,conventional,CincinnatiDayton
2015-05-17,1.04,234579.34,conventional,CincinnatiDayton
2015-05-10,1.06,259598.76,conventional,CincinnatiDayton
2015-05-03,1.08,238140.96,conventional,CincinnatiDayton
2015-04-26,1.06,214469.51,conventional,CincinnatiDayton
2015-04-19,1.02,226978.72,conventional,CincinnatiDayton
2015-04-12,1.02,188937.83,conventional,CincinnatiDayton
2015-04-05,1.06,196168.6,conventional,CincinnatiDayton
2015-03-29,0.95,198365.16,conventional,CincinnatiDayton
2015-03-22,0.98,212719.94,conventional,CincinnatiDayton
2015-03-15,0.94,196008.57,conventional,CincinnatiDayton
2015-03-08,0.87,219110.81,conventional,CincinnatiDayton
2015-03-01,0.89,226951.64,conventional,CincinnatiDayton
2015-02-22,0.93,183072.02,conventional,CincinnatiDayton
2015-02-15,0.94,169950.37,conventional,CincinnatiDayton
2015-02-08,0.93,186617.2,conventional,CincinnatiDayton
2015-02-01,0.86,300905.18,conventional,CincinnatiDayton
2015-01-25,0.93,213554.45,conventional,CincinnatiDayton
2015-01-18,0.93,175681.09,conventional,CincinnatiDayton
2015-01-11,0.92,201392.27,conventional,CincinnatiDayton
2015-01-04,0.88,228569.58,conventional,CincinnatiDayton
2015-12-27,0.99,107565.04,conventional,Columbus
2015-12-20,1.03,117393.22,conventional,Columbus
2015-12-13,1.03,124617.07,conventional,Columbus
2015-12-06,0.99,137195.59,conventional,Columbus
2015-11-29,1.03,97235.6,conventional,Columbus
2015-11-22,1.04,115089.62,conventional,Columbus
2015-11-15,0.99,117462.94,conventional,Columbus
2015-11-08,0.95,152084.79,conventional,Columbus
2015-11-01,0.99,135237.01,conventional,Columbus
2015-10-25,1.04,119210.27,conventional,Columbus
2015-10-18,0.98,137773.84,conventional,Columbus
2015-10-11,0.9,145305.65,conventional,Columbus
2015-10-04,0.93,134326.53,conventional,Columbus
2015-09-27,1.02,137298.77,conventional,Columbus
2015-09-20,1.0,165068.86,conventional,Columbus
