index,value
725,1
726,45
727,60
728,67
729,45
730,51
731,3
732,71
733,35
734,67
735,75
736,67
737,43
738,40
739,89
740,83
741,51
742,36
743,33
744,49
745,40
746,8
747,63
748,51
749,32
750,13
751,64
752,17
753,50
754,64
755,31
756,56
757,50
758,62
759,86
760,48
761,42
762,62
763,93
764,59
765,48
766,55
767,17
768,66
769,57
770,14
771,56
772,51
773,68
774,80
775,55
776,29
777,46
778,35
779,63
780,44
781,40
782,59
783,47
784,61
785,9
786,76
787,48
788,37
789,66
790,54
791,43
792,88
793,36
794,78
795,89
796,7
797,36
798,26
799,53
800,45
801,42
802,48
803,59
804,70
805,20
806,-16
807,36
808,38
809,66
810,0
811,38
812,53
813,77
814,80
815,19
816,44
817,4
818,61
819,59
820,36
821,85
822,62
823,66
824,46
825,55
826,42
827,18
828,40
829,82
830,29
831,26
832,60
833,55
834,41
835,52
836,35
837,36
838,93
839,49
840,56
841,39
842,65
843,31
844,40
845,14
846,85
847,87
848,27
849,54
850,32
851,8
852,54
853,82
854,7
855,41
856,71
857,40
858,40
859,56
860,36
861,50
862,8
863,84
864,82
865,49
866,58
867,98
868,61
869,24
870,27
871,64
872,37
873,68
874,65
875,22
876,61
877,42
878,51
879,16
880,78
881,56
882,47
883,55
884,62
885,25
886,87
887,22
888,35
889,73
890,86
891,54
892,45
893,40
894,35
895,36
896,34
897,80
898,60
899,33
900,71
901,67
902,79
903,53
904,24
905,52
906,13
907,35
908,17
909,37
910,72
911,50
912,63
913,32
914,78
915,34
916,39
917,17
918,28
919,82
920,66
921,65
922,68
923,37
924,65
925,53
926,55
927,41
928,67
929,52
930,30
931,28
932,40
933,59
934,82
935,82
936,11
937,54
938,91
939,40
940,32
941,71
942,58
943,64
944,49
945,76
946,70
947,90
948,48
949,47
950,80
951,38
952,40
953,41
954,45
955,41
956,37
957,54
958,73
959,83
960,31
961,19
962,42
963,50
964,57
965,63
966,53
967,27
968,59
969,58
970,43
971,14
972,91
973,80
974,66
975,58
976,27
977,47
978,55
979,51
980,67
981,51
982,38
983,27
984,25
985,72
986,71
987,31
988,63
989,61
990,37
991,37
992,42
993,21
994,80
995,57
996,37
997,5
998,23
999,55
